message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.80,message_0091;message_0243;message_0102
msg_091,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.84,message_0238
msg_090,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.76,none
msg_048,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.84,message_0151;message_0152;message_0271
msg_040,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.80,message_0136
msg_075,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.80,message_0206;message_0205;message_0294
msg_005,notify,urgent,The message contains a direct deadline or time-critical dependency for the user.,0.90,message_0065;message_0066;message_0049
msg_104,digest,urgent,"The message sounds urgent, but the user has muted or reported this sender before, so it waits in the digest.",0.90,message_0050;message_0224;message_0383
msg_069,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.80,message_0193;message_0080;message_0042
msg_107,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.90,message_0056;message_0213;message_0214
msg_070,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.84,message_0023;message_0045;message_0085
msg_003,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.80,message_0031;message_0061;message_0062
msg_099,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.86,message_0249;message_0227
msg_008,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.77,message_0072;message_0071;message_0296
msg_092,digest,payment,A payment-related update is informational and does not need to interrupt the user right now.,0.84,message_0346;message_0344
msg_060,notify,promotion,"The user actively opens and replies to this business, so its offer is worth surfacing now.",0.90,message_0176;message_0208;message_0284
msg_004,notify,event,A same-day operational update needs the user's attention before the window closes.,0.86,message_0005;message_0245;message_0246
msg_030,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.80,message_0115;message_0050;message_0232
msg_045,notify,urgent,The message contains a direct deadline or time-critical dependency for the user.,0.80,message_0031;message_0371;message_0230
msg_052,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.84,message_0208;message_0207;message_0159
msg_009,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.80,message_0074
msg_071,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.68,none
msg_016,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.84,message_0024;message_0147
msg_065,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.80,message_0032;message_0108;message_0262
msg_038,digest,urgent,"The message sounds urgent, but the user has muted or reported this sender before, so it waits in the digest.",0.80,message_0131;message_0132
msg_086,notify,event,A same-day operational update needs the user's attention before the window closes.,0.81,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.80,message_0017;message_0034;message_0018
msg_094,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.86,message_0204;message_0203;message_0048
msg_029,digest,promotion,"The offer is potentially relevant, but it does not need immediate attention.",0.80,message_0095;message_0332;message_0113
